player,mode,startedAt,durationMs,totalScore,t(ms),lap,score,note
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,200,1,3.4,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,402,1,6.56,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,611,1,9.23,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,822,1,11.46,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,1023,1,13.23,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,1235,1,14.77,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,1450,1,16.36,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,1650,1,17.69,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,1863,1,18.8,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,2065,1,19.7,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,2279,1,20.47,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,2484,1,21.17,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,2693,1,21.58,
Jugador/a,carreras,2025-09-27T22:46:29,60000,22.33,2895,1,22.02,
